	shannon
0001.003.1	1.38784424426
0001.003.2	0.00865172022223
0001.003.3	0.0366790678564
0001.003.4	0.00798594126084
0001.003.5	0.808317303281
0001.003.6	0.834586335859
0008.007.3	0.0833346017485
0008.007.4	0.160730434906
0008.007.5	0.671707909232
0008.007.6	2.51457644227
0018.017.3	2.31146954002
0018.017.4	2.0844777729
0018.017.5	2.73818452347
0018.017.6	2.41937373859
0021.023.5	2.71616845434
0021.023.6	3.83979131579
0021.023.7	3.06780205654
0029.043.2	2.03754185211
0029.043.3	2.97797379529
0029.043.4	3.17883150411
0032.033.1	1.98801395911
0032.033.2	2.86037115066
0032.033.4	1.95194597124
0032.033.5	2.07338786407
0032.033.6	2.85029644553
0036.028.3	2.65582948584
0036.028.4	3.7257231468
0036.028.5	3.45288193044
0036.028.6	3.79745639733
0041.030.3	0.241132151729
0041.030.4	1.49486530131
0044.034.1	1.30878424264
0044.034.2	2.72033548321
0044.034.3	2.41169161175
0044.034.4	2.71390760878
0044.034.5	3.10927637284
0047.038.3	2.04216610628
0047.038.4	0.643725306548
0047.038.5	1.58327271806
0051.064.5	3.66722667186
0051.064.6	3.09818763254
0055.051.1	0.311134763682
0055.051.2	0.959423511329
0055.051.3	0.0864094489074
0055.051.4	0.964091396627
0055.051.5	2.69618462683
0055.051.6	1.71307764873
0055.051.7	1.04886968927
0058.068.1	0.28435808747
0058.068.2	1.76769747161
0058.068.3	2.812356348
0058.068.4	3.14648725313
0061.057.2	3.66288796537
0061.057.3	3.3220075634
0061.057.4	2.5314284913
0067.062.1	2.48710506713
0067.062.2	1.25629277801
0067.062.3	2.20520020164
0067.062.4	1.23312631731
0067.062.5	1.39247555572
0067.062.6	0.3900856052
0068.050.1	1.01961132724
0068.050.2	1.99327048827
0068.050.3	1.55852415095
0068.050.4	1.47231792027
0068.050.5	3.01638176832
0068.050.6	2.08771060467
0079.069.1	2.73670527521
0079.069.2	2.8706542632
0079.069.3	2.18637164566
0079.069.4	2.87934934943
0079.069.5	2.5486832031
0079.069.6	3.21952085107
0079.069.7	3.38649036145
0085.075.1	1.90362225743
0085.075.2	2.31806181874
0085.075.3	2.33930273151
0085.075.4	0.390259202221
0085.075.5	1.62075622664
0085.075.6	2.55294770237
0090.080.1	0.334977974276
0090.080.2	0.0525016922231
0090.080.3	0.473194069944
0090.080.4	2.70434889613
0090.080.5	1.64173745094
0090.080.6	1.44354514763
0090.080.7	2.68956880461
0094.086.1	0.783783761622
0094.086.2	0.132744672709
0094.086.3	0.385439264001
0094.086.5	0.656546270929
0094.086.6	0.05189346184
0094.086.7	2.65368173116
0094.086.8	0.0375961409264
0095.084.2	2.50908953282
0095.084.3	1.27686351985
0098.098.1	0.0296124412442
0098.098.2	0.559134012274
0098.098.3	3.06524829413
0098.098.4	1.47785753314
0100.083.1	2.62507970223
0100.083.2	3.7757458354
0100.083.3	2.9054618142
0100.083.4	3.02786715278
0101.088.1	3.42830864287
0101.088.2	2.88725094362
0101.088.3	2.80698115254
0101.088.4	2.91167945219
0101.088.5	1.78693678592
0101.088.6	0.786786717291
0106.082.2	0.0286953681743
0106.082.3	2.32401913671
0121.101.1	1.92602540361
0121.101.2	1.94520759461
0121.101.3	2.10631454835
0123.103.4	2.5906112686
0123.103.5	2.86805016499
0135.111.2	0.376626122229
0135.111.3	0.0963836848865
0135.111.4	2.11012983516
0135.111.5	2.85699083817
0135.111.6	2.40845662904
0136.112.1	2.70549525902
0136.112.2	3.39491521748
0136.112.3	1.96450620608
0136.112.4	3.13466959044
0136.112.5	2.95669434666
0136.112.6	3.49259034109
0138.113.1	2.58644542237
0138.113.2	1.30076492657
0138.113.4	0.0525161542686
0138.113.5	2.79208328521
0139.114.1	0.0776000230961
0139.114.2	1.59605222722
0139.114.3	1.77298293923
0154.119.2	2.2817622499
0154.119.3	2.75603534851
0154.119.4	2.58057581156
0158.129.1	0.149151363421
0158.129.2	0.492283385508
0158.129.3	0.119498416095
0158.129.4	0.0995925733058
0158.129.5	3.35662685311
0158.129.6	0.812419540615
0180.142.1	2.7609478373
0180.142.2	0.196454474555
0180.142.5	1.67318156166
0180.142.6	0.84526503136
0180.142.7	0.823205696018
0180.142.8	0.356282906217
0203.151.1	2.15499016858
0203.151.2	2.86620083311
0203.151.3	2.36783648781
0203.151.4	2.77592752041
0218.162.1	0.535238257392
0218.162.2	0.409518842407
0218.162.3	0.546518774691
0218.162.4	0.396583699202
0218.162.5	0.139366172727
0229.171.1	1.84849223184
0229.171.2	0.234276484803
0262.198.1	0.0425864187064
0262.198.2	1.64346143542
0275.201.2	2.42384641977
0275.201.3	4.26116839247
0275.201.4	2.38123001276
0275.201.5	2.66221654638
0275.201.6	2.23160897429
0275.201.7	1.59229051129
0275.201.8	1.98301899655
0282.202.1	1.06357696168
0282.202.2	0.0717394265525
0303.208.1	0.0303570718004
0303.208.2	0.464451018272
0387.272.1	2.57648331775
0387.272.2	2.61592376942
0387.272.3	3.20783778457
0397.268.1	2.8965004414
0397.268.2	2.87881902026
0411.296.1	1.94377276227
0411.296.2	1.37729898498
0411.296.3	0.972347452041
0411.296.4	2.71832402882
0411.296.5	1.54312045106
0411.296.6	0.773435756625
0421.295.1	0.744227004082
0421.295.2	0.737437083687
0421.295.3	0.94863179511
0421.295.4	1.01419970189
0422.293.1	0.0428912601617
0422.293.2	0.081134406138
0424.282.1	1.5122259211
0424.282.2	0.767827836063
0424.282.3	1.10217267205
0424.282.4	1.038056649
0424.282.5	2.07789353127
