	shannon
0001.003.1	1.39539557228
0001.003.2	0.00754590830129
0001.003.3	0.0258376806313
0001.003.4	0.00697496910632
0001.003.5	0.820278572206
0001.003.6	0.826293588449
0008.007.3	0.0807576023281
0008.007.4	0.152299298639
0008.007.5	0.668602628618
0008.007.6	2.49771612551
0018.017.3	2.34283460027
0018.017.4	2.0670214524
0018.017.5	2.73948903786
0018.017.6	2.43476281212
0021.023.5	2.73725875639
0021.023.6	3.84529830996
0021.023.7	3.08643053596
0029.043.2	2.09146635124
0029.043.3	3.01570392434
0029.043.4	3.19414374929
0032.033.1	1.98998357198
0032.033.2	2.83382775263
0032.033.4	1.92644173854
0032.033.5	2.04502552565
0032.033.6	2.80779790589
0036.028.3	2.67710807521
0036.028.4	3.78412054679
0036.028.5	3.46540254061
0036.028.6	3.76718809456
0041.030.3	0.267399196955
0041.030.4	1.47946044114
0044.034.1	1.30810907213
0044.034.2	2.70845291171
0044.034.3	2.4276778927
0044.034.4	2.68011397162
0044.034.5	3.1019010761
0047.038.3	2.07283632104
0047.038.4	0.633308857473
0047.038.5	1.55183729425
0051.064.5	3.68647577143
0051.064.6	3.15530184423
0055.051.1	0.320421048493
0055.051.2	0.95864958544
0055.051.3	0.0804204090497
0055.051.4	0.96928952429
0055.051.5	2.74481243341
0055.051.6	1.70303989676
0055.051.7	1.04705462126
0058.068.1	0.272284785825
0058.068.2	1.78610798286
0058.068.3	2.8007189761
0058.068.4	3.1390565363
0061.057.2	3.68089168307
0061.057.3	3.3421279321
0061.057.4	2.52660748676
0067.062.1	2.49069927362
0067.062.2	1.25960781365
0067.062.3	2.19811483437
0067.062.4	1.20165725316
0067.062.5	1.42943926365
0067.062.6	0.387114505973
0068.050.1	1.00419690472
0068.050.2	1.9959358196
0068.050.3	1.54596521888
0068.050.4	1.52286294431
0068.050.5	3.05648405545
0068.050.6	2.10877448781
0079.069.1	2.71959216414
0079.069.2	2.91365070295
0079.069.3	2.21128149651
0079.069.4	2.88053497715
0079.069.5	2.53608594471
0079.069.6	3.2173459881
0079.069.7	3.36161935559
0085.075.1	1.93032038751
0085.075.2	2.35846356118
0085.075.3	2.30038796006
0085.075.4	0.390718978502
0085.075.5	1.63514886631
0085.075.6	2.527663196
0090.080.1	0.309101019873
0090.080.2	0.0508590360869
0090.080.3	0.497550958834
0090.080.4	2.69149767815
0090.080.5	1.6641335902
0090.080.6	1.43188834119
0090.080.7	2.72407509958
0094.086.1	0.820456771084
0094.086.2	0.102682445651
0094.086.3	0.370831010205
0094.086.5	0.621677596562
0094.086.6	0.041617776191
0094.086.7	2.72325010888
0094.086.8	0.0448279139295
0095.084.2	2.51714187655
0095.084.3	1.28598619996
0098.098.1	0.0290389304616
0098.098.2	0.526149490092
0098.098.3	3.05750014897
0098.098.4	1.46409142973
0100.083.1	2.63882186689
0100.083.2	3.73419017707
0100.083.3	2.93109776017
0100.083.4	3.0238245276
0101.088.1	3.44243826425
0101.088.2	2.88347941652
0101.088.3	2.78331158815
0101.088.4	2.89762773837
0101.088.5	1.80800610971
0101.088.6	0.780714343193
0106.082.2	0.0515843222379
0106.082.3	2.3441221414
0121.101.1	1.91334152709
0121.101.2	1.97582981021
0121.101.3	2.04913689727
0123.103.4	2.56844829487
0123.103.5	2.88711240121
0135.111.2	0.383527082418
0135.111.3	0.0845614478886
0135.111.4	2.13342882117
0135.111.5	2.84001652072
0135.111.6	2.41649699759
0136.112.1	2.68534696698
0136.112.2	3.39825534336
0136.112.3	1.95872995244
0136.112.4	3.13096798552
0136.112.5	2.89734854852
0136.112.6	3.49191822741
0138.113.1	2.57349915737
0138.113.2	1.29517436827
0138.113.4	0.0603675371466
0138.113.5	2.79210330892
0139.114.1	0.0843590412468
0139.114.2	1.56729719105
0139.114.3	1.76751028544
0154.119.2	2.27953712067
0154.119.3	2.78953835902
0154.119.4	2.58050618876
0158.129.1	0.157428636154
0158.129.2	0.49324696523
0158.129.3	0.147409361777
0158.129.4	0.121010791531
0158.129.5	3.31956344512
0158.129.6	0.816372227293
0180.142.1	2.78453804705
0180.142.2	0.193645319618
0180.142.5	1.65960413305
0180.142.6	0.863141501394
0180.142.7	0.799192168184
0180.142.8	0.359146658019
0203.151.1	2.20794906849
0203.151.2	2.86757853739
0203.151.3	2.40834404854
0203.151.4	2.78719832473
0218.162.1	0.524687110193
0218.162.2	0.395175809866
0218.162.3	0.552225803127
0218.162.4	0.407891167158
0218.162.5	0.128299526809
0229.171.1	1.89967895649
0229.171.2	0.20909519697
0262.198.1	0.0548700130756
0262.198.2	1.63611800821
0275.201.2	2.41922635364
0275.201.3	4.26678772442
0275.201.4	2.3616538349
0275.201.5	2.63053987656
0275.201.6	2.19335383936
0275.201.7	1.60384935244
0275.201.8	1.94529384533
0282.202.1	1.05802366815
0282.202.2	0.0691521351091
0303.208.1	0.0197816170213
0303.208.2	0.503324956872
0387.272.1	2.55215094857
0387.272.2	2.60070647139
0387.272.3	3.18263558453
0397.268.1	2.90468943105
0397.268.2	2.89935049347
0411.296.1	1.93495461515
0411.296.2	1.38812713157
0411.296.3	0.972311082038
0411.296.4	2.76245323398
0411.296.5	1.54148150562
0411.296.6	0.799490050609
0421.295.1	0.75063997954
0421.295.2	0.745144894615
0421.295.3	0.953078649201
0421.295.4	1.01451075635
0422.293.1	0.0535802502515
0422.293.2	0.0712910527421
0424.282.1	1.50620533074
0424.282.2	0.77230647727
0424.282.3	1.08757116743
0424.282.4	1.08293682354
0424.282.5	2.1082880815
0424.282.6	3.06910516658
0430.289.1	2.54650514762
0430.289.2	2.4820602057
0430.289.3	1.74782993167
0430.289.4	2.45502753424
0430.289.5	1.83834254165
0434.290.1	2.99671918004
0434.290.2	2.49404737453
0434.290.3	3.54680311882
0434.290.4	2.86550897811
0434.290.5	2.3462581091
0444.312.1	2.95062383026
0444.312.2	3.55975877866
0445.323.1	3.1946161891
0445.323.2	3.53872046026
0445.323.3	3.58620116918
0445.323.4	3.27959501749
0445.323.5	3.54058635906
0446.315.1	0.150873291787
0446.315.2	0.579896238505
0446.315.3	0.0289543716158
0446.315.4	0.600237554079
0446.315.5	0.252913070002
0455.313.1	0.226174374543
0455.313.2	1.26845145413
0455.313.3	4.11880901998
0455.313.4	2.6497492853
0455.313.5	0.132856049606
0476.335.1	2.92636562917
0476.335.2	0.200084925222
0476.335.3	0.0296098696566
0476.335.4	0.0723540936396
0476.335.5	0.0917772552784
0484.349.1	2.59691083948
0484.349.2	1.96644795784
0484.349.3	2.52238482196
0484.349.4	3.44883673029
0484.349.5	2.16146809224
0590.427.3	2.51987526774
0590.427.4	2.35065833372
0650.470.1	2.3638655587
0650.470.2	2.74983235437
0650.470.3	4.07227820834
0650.470.4	2.17110683811
0662.479.2	2.22578858333
0662.479.3	1.15925124242
0671.486.1	1.58688756531
