	shannon
0001.003.1	1.57095059445
0001.003.2	-0.0
0001.003.3	-0.0
0001.003.4	-0.0
0001.003.5	-0.0
0001.003.6	0.881290899231
0008.007.3	-0.0
0008.007.4	-0.0
0008.007.5	-0.0
0008.007.6	1.15677964945
0018.017.3	1.72192809489
0018.017.4	1.97095059445
0018.017.5	1.96096404744
0018.017.6	2.52192809489
0021.023.5	2.64643934467
0021.023.6	2.44643934467
0021.023.7	2.52192809489
0029.043.2	1.96096404744
0029.043.3	2.32192809489
0029.043.4	2.44643934467
0032.033.1	1.96096404744
0032.033.2	2.37095059445
0032.033.4	1.15677964945
0032.033.5	0.468995593589
0032.033.6	2.16096404744
0036.028.3	1.77095059445
0036.028.4	1.96096404744
0036.028.5	2.37095059445
0036.028.6	3.12192809489
0041.030.3	0.468995593589
0041.030.4	1.29546184424
0044.034.1	0.721928094887
0044.034.2	1.76096404744
0044.034.3	1.92192809489
0044.034.4	2.44643934467
0044.034.5	2.17095059445
0047.038.3	1.36096404744
0047.038.4	0.468995593589
0047.038.5	0.970950594455
0051.064.5	2.32192809489
0051.064.6	2.44643934467
0055.051.1	-0.0
0055.051.2	0.970950594455
0055.051.3	-0.0
0055.051.4	0.970950594455
0055.051.5	1.77095059445
0055.051.6	1.52192809489
0055.051.7	1.0
0058.068.1	-0.0
0058.068.2	1.29546184424
0058.068.3	2.17095059445
0058.068.4	0.921928094887
0061.057.2	2.12192809489
0061.057.3	2.12192809489
0061.057.4	2.32192809489
0067.062.1	1.68547529723
0067.062.2	-0.0
0067.062.3	2.24643934467
0067.062.4	0.921928094887
0067.062.5	1.0
0067.062.6	-0.0
0068.050.1	1.15677964945
0068.050.2	1.68547529723
0068.050.3	1.15677964945
0068.050.4	0.881290899231
0068.050.5	3.12192809489
0068.050.6	0.921928094887
0079.069.1	2.17095059445
0079.069.2	1.77095059445
0079.069.3	1.77095059445
0079.069.4	2.12192809489
0079.069.5	2.72192809489
0079.069.6	2.44643934467
0079.069.7	2.44643934467
0085.075.1	0.721928094887
0085.075.2	1.77095059445
0085.075.3	1.96096404744
0085.075.4	0.468995593589
0085.075.5	-0.0
0085.075.6	1.29546184424
0090.080.1	-0.0
0090.080.2	-0.0
0090.080.3	-0.0
0090.080.4	2.52192809489
0090.080.5	0.970950594455
0090.080.6	1.36096404744
0090.080.7	2.24643934467
0094.086.1	0.468995593589
0094.086.2	-0.0
0094.086.3	-0.0
0094.086.5	0.921928094887
0094.086.6	-0.0
0094.086.7	1.77095059445
0094.086.8	-0.0
0095.084.2	1.29546184424
0095.084.3	0.970950594455
0098.098.1	-0.0
0098.098.2	0.468995593589
0098.098.3	2.17095059445
0098.098.4	0.970950594455
0100.083.1	2.64643934467
0100.083.2	1.77095059445
0100.083.3	2.16096404744
0100.083.4	1.77095059445
0101.088.1	2.52192809489
0101.088.2	2.04643934467
0101.088.3	2.44643934467
0101.088.4	1.89546184424
0101.088.5	1.72192809489
0101.088.6	1.35677964945
0106.082.2	-0.0
0106.082.3	1.37095059445
0121.101.1	1.15677964945
0121.101.2	1.84643934467
0121.101.3	1.96096404744
0123.103.4	1.29546184424
0123.103.5	1.84643934467
0135.111.2	-0.0
0135.111.3	-0.0
0135.111.4	2.04643934467
0135.111.5	2.24643934467
0135.111.6	1.29546184424
0136.112.1	1.35677964945
0136.112.2	2.44643934467
0136.112.3	1.48547529723
0136.112.4	2.92192809489
0136.112.5	2.37095059445
0136.112.6	2.44643934467
0138.113.1	2.17095059445
0138.113.2	0.970950594455
0138.113.4	-0.0
0138.113.5	1.57095059445
0139.114.1	-0.0
0139.114.2	1.36096404744
0139.114.3	1.68547529723
0154.119.2	0.721928094887
0154.119.3	1.77095059445
0154.119.4	1.76096404744
0158.129.1	-0.0
0158.129.2	-0.0
0158.129.3	-0.0
0158.129.4	-0.0
