	shannon
0001.003.1	1.36712815304
0001.003.2	0.00865172022223
0001.003.3	0.0366790678564
0001.003.4	0.00798594126084
0001.003.5	0.81435273675
0001.003.6	0.823177935614
0008.007.3	0.0758122674358
0008.007.4	0.139997560212
0008.007.5	0.658384062917
0008.007.6	2.43575053559
0018.017.3	2.32582977516
0018.017.4	2.08127548233
0018.017.5	2.71917302419
0018.017.6	2.41636975155
0021.023.5	2.75810343241
0021.023.6	3.78032814135
0021.023.7	3.10103259126
0029.043.2	2.01455092363
0029.043.3	2.99717902889
0029.043.4	3.18016793424
0032.033.1	1.9657127726
0032.033.2	2.84123393578
0032.033.4	1.94809176246
0032.033.5	2.07321422935
0032.033.6	2.84313243289
0036.028.3	2.65987347623
0036.028.4	3.78283020623
0036.028.5	3.47913374213
0036.028.6	3.79376707875
0041.030.3	0.283119476385
0041.030.4	1.4970138586
0044.034.1	1.27456001019
0044.034.2	2.71821872324
0044.034.3	2.4100903135
0044.034.4	2.71501242354
0044.034.5	3.12591560717
0047.038.3	2.03858528863
0047.038.4	0.656873845362
0047.038.5	1.57920009868
0051.064.5	3.66879877445
0051.064.6	3.11452750409
0055.051.1	0.307109901783
0055.051.2	0.957102785113
0055.051.3	0.106876021767
0055.051.4	0.962726652162
0055.051.5	2.70477314627
0055.051.6	1.7055799207
0055.051.7	1.04132375753
0058.068.1	0.264943788636
0058.068.2	1.76596425441
0058.068.3	2.79480534351
0058.068.4	3.17986820125
0061.057.2	3.65599503027
0061.057.3	3.36891648867
0061.057.4	2.48908425798
0067.062.1	2.5096421775
0067.062.2	1.29722233928
0067.062.3	2.17673271423
0067.062.4	1.21385535602
0067.062.5	1.42848456532
0067.062.6	0.4058854933
0068.050.1	0.975531426856
0068.050.2	1.9259234261
0068.050.3	1.53680831331
0068.050.4	1.50166328408
0068.050.5	3.02860922536
0068.050.6	2.13744627893
0079.069.1	2.69059806039
0079.069.2	2.92698056669
0079.069.3	2.21925299488
0079.069.4	2.89838609289
0079.069.5	2.58190005443
0079.069.6	3.21526105763
0079.069.7	3.3307951981
0085.075.1	1.88814365163
0085.075.2	2.34008773862
0085.075.3	2.36784303489
0085.075.4	0.415361893683
0085.075.5	1.65738801112
0085.075.6	2.56088074141
0090.080.1	0.346654123277
0090.080.2	0.0477327957146
0090.080.3	0.473964846561
0090.080.4	2.72501040649
0090.080.5	1.64085586891
0090.080.6	1.42110413504
0090.080.7	2.70590802501
0094.086.1	0.806935757983
0094.086.2	0.109715788481
0094.086.3	0.38697320142
0094.086.5	0.629145455765
0094.086.6	0.039587188543
0094.086.7	2.74065309695
0094.086.8	0.0362645830036
0095.084.2	2.52526195212
0095.084.3	1.29619779874
0098.098.1	0.041003566675
0098.098.2	0.514736403414
0098.098.3	3.06434110889
0098.098.4	1.47376188331
0100.083.1	2.63681072444
0100.083.2	3.69000845361
0100.083.3	2.97509647823
0100.083.4	3.01111814543
0101.088.1	3.42274674209
0101.088.2	2.87382138697
0101.088.3	2.78985311177
0101.088.4	2.87892723299
0101.088.5	1.80840360175
0101.088.6	0.760423585357
0106.082.2	0.0433305682027
0106.082.3	2.35461771901
0121.101.1	1.92007407648
0121.101.2	1.97278079801
0121.101.3	2.02721275406
0123.103.4	2.5285017249
0123.103.5	2.87748976377
0135.111.2	0.402255266241
0135.111.3	0.0860388099147
0135.111.4	2.14347105557
0135.111.5	2.81442503059
0135.111.6	2.39881850519
0136.112.1	2.70325310156
0136.112.2	3.38429326859
0136.112.3	1.97937307412
0136.112.4	3.15030545197
0136.112.5	2.90146206835
0136.112.6	3.48883422174
0138.113.1	2.58999692789
0138.113.2	1.31021524502
0138.113.4	0.0466525319004
0138.113.5	2.75463527834
0139.114.1	0.0745757664626
0139.114.2	1.56659307115
0139.114.3	1.80309531247
0154.119.2	2.24609193574
0154.119.3	2.76778596153
0154.119.4	2.59464678526
0158.129.1	0.169467376153
0158.129.2	0.47392056094
0158.129.3	0.13124559346
0158.129.4	0.10953419643
0158.129.5	3.30453850592
0158.129.6	0.775396169405
0180.142.1	2.8263383106
0180.142.2	0.190331174675
0180.142.5	1.65872389121
0180.142.6	0.8683890207
0180.142.7	0.765406672896
0180.142.8	0.358658815889
0203.151.1	2.17754733973
0203.151.2	2.86075006884
0203.151.3	2.32984988137
0203.151.4	2.81327645539
0218.162.1	0.538614696603
0218.162.2	0.402480919273
0218.162.3	0.536358397544
0218.162.4	0.423535004776
0218.162.5	0.158713641446
0229.171.1	1.84947371536
0229.171.2	0.222979234124
0262.198.1	0.0628749477021
0262.198.2	1.63866307501
0275.201.2	2.43189654936
0275.201.3	4.30247662075
0275.201.4	2.34452342147
0275.201.5	2.66400069786
0275.201.6	2.20783532049
0275.201.7	1.60574715577
0275.201.8	1.98171642713
0282.202.1	1.0514841872
0282.202.2	0.0694531291655
0303.208.1	0.0159712426042
0303.208.2	0.445491772247
0387.272.1	2.5782119847
0387.272.2	2.59410230824
0387.272.3	3.15397385663
0397.268.1	2.94601452675
0397.268.2	2.90432367846
0411.296.1	1.91874039584
0411.296.2	1.38322531085
0411.296.3	0.965263377017
0411.296.4	2.72337274299
0411.296.5	1.52947061548
0411.296.6	0.793144474023
0421.295.1	0.7499791782
0421.295.2	0.723454575272
0421.295.3	0.943093045982
0421.295.4	1.00841332406
0422.293.1	0.0585155593942
0422.293.2	0.0792818450616
0424.282.1	1.48490517699
0424.282.2	0.77729520162
0424.282.3	1.12183968067
0424.282.4	1.0710233672
0424.282.5	2.08489265498
0424.282.6	3.06848328541
0430.289.1	2.56569014571
0430.289.2	2.46069925564
0430.289.3	1.74720860318
0430.289.4	2.44878539266
0430.289.5	1.83588539602
0434.290.1	3.05099991634
0434.290.2	2.50555217706
0434.290.3	3.54483589476
0434.290.4	2.84391935192
0434.290.5	2.3166077679
0444.312.1	2.98913395984
0444.312.2	3.52702972513
0445.323.1	3.18029868041
0445.323.2	3.55062311823
0445.323.3	3.52643365111
0445.323.4	3.34454818822
0445.323.5	3.52011676066
0446.315.1	0.107732660972
0446.315.2	0.575149197774
0446.315.3	0.0394519115934
0446.315.4	0.606573473511
0446.315.5	0.244668371938
0455.313.1	0.236384823595
0455.313.2	1.25666632014
0455.313.3	4.14804736032
0455.313.4	2.64708731327
0455.313.5	0.108575175034
0476.335.1	2.90564079582
0476.335.2	0.194320105008
0476.335.3	0.0323544086845
0476.335.4	0.0612064726227
0476.335.5	0.090741942654
0484.349.1	2.6232751911
0484.349.2	1.98434619019
0484.349.3	2.5014067646
0484.349.4	3.4424994855
0484.349.5	2.16875624861
0590.427.3	2.47788581698
0590.427.4	2.31932316357
0650.470.1	2.37118537087
0650.470.2	2.75647995854
0650.470.3	4.07365732389
0650.470.4	2.16156287122
0662.479.2	2.19841146237
0662.479.3	1.14881115896
0671.486.1	1.57161489034
0671.486.2	0.989808435471
0671.486.3	2.4952666
0671.486.4	1.23731128226
0675.493.1	3.8666024903
0675.493.2	2.41433047315
0691.499.1	2.58230266927
0691.499.2	2.87769963588
0691.499.3	0.878379187969
0695.498.1	2.22250837189
0695.498.2	1.97732298458
0707.511.1	0.467680676765
0707.511.2	1.00178368847
0708.515.1	0.251526367232
0708.515.2	0.077002421343
0708.515.3	0.182362600675
0723.529.1	2.82387369774
0723.529.2	3.18441636589
0723.529.3	2.20510947894
0725.527.1	0.807844835354
0725.527.2	0.701030680021
0730.536.1	3.24541139942
0730.536.2	0.153171067367
0730.536.3	2.1809938441
0755.549.1	3.05502862525
0755.549.2	3.1867559468
0760.569.1	0.532221362199
0760.569.2	1.31450284634
0760.569.3	3.49240963158
0775.568.1	0.0938808118495
0775.568.2	0.722770486122
0775.568.3	2.7407967133
0788.597.1	1.53610964409
0788.597.2	1.95755204903
0788.597.3	1.86700464066
0825.610.1	2.03323835364
0825.610.2	0.0773951194671
0825.610.3	0.796386485723
0825.610.4	1.7131706651
0847.616.1	2.98572652849
0847.616.2	2.18616601818
0847.616.3	2.56426216079
0847.616.4	2.95532781018
0858.627.1	3.2441952327
0858.627.2	2.9295571956
0869.631.1	4.27367406112
0869.631.2	0.373382171331
0880.641.1	0.817874968204
0880.641.2	0.891595716157
0880.641.3	3.36453431838
0959.704.1	2.17133130958
0959.704.2	1.42484363154
1031.761.1	0.0522300577
1031.761.2	0.351272517177
1169.852.1	1.61811921832
1169.852.2	0.509683936185
1184.867.1	2.75771177142
1184.867.2	2.53532248906
1192.879.1	3.08725133908
1192.879.2	3.16199000756
1317.970.1	1.96246818171
1317.970.2	2.74179814745
1416.1052.2	0.126021394554
1416.1052.3	0.410766279019
1443.1076.2	2.58999767955
1443.1076.3	2.84865342338
1485.1102.1	0.40588340723
1485.1102.2	0.543546332748
1510.1125.1	0.111781406459
1510.1125.2	0.27574791304
1511.1126.1	1.3758918571
1511.1126.2	1.54347694418
1513.1128.1	0.453247900942
1513.1128.2	1.17799000431
