	shannon
0001.003.1	1.41596957742
0001.003.2	0.0123749566325
0001.003.3	0.0247484777559
0001.003.4	0.00618765766538
0001.003.5	0.794555164918
0001.003.6	0.839731360411
0008.007.3	0.0687962045577
0008.007.4	0.134906644468
0008.007.5	0.648959901914
0008.007.6	2.4937061893
0018.017.3	2.30580500837
0018.017.4	2.05066994025
0018.017.5	2.72035734786
0018.017.6	2.43114372476
0021.023.5	2.76628597062
0021.023.6	3.86205004245
0021.023.7	3.05434805096
0029.043.2	2.08236891004
0029.043.3	2.97080260749
0029.043.4	3.14080462845
0032.033.1	1.99241594548
0032.033.2	2.79748858472
0032.033.4	1.9143788384
0032.033.5	1.99421335618
0032.033.6	2.83911292366
0036.028.3	2.73956029329
0036.028.4	3.74997824635
0036.028.5	3.47083192778
0036.028.6	3.72082648569
0041.030.3	0.263681950099
0041.030.4	1.47862962704
0044.034.1	1.32673297965
0044.034.2	2.70393632067
0044.034.3	2.44820413711
0044.034.4	2.70058468855
0044.034.5	3.14684468754
0047.038.3	2.05217648597
0047.038.4	0.597610874084
0047.038.5	1.53043992649
0051.064.5	3.70340735084
0051.064.6	3.1302498911
0055.051.1	0.288958239172
0055.051.2	0.96131388921
0055.051.3	0.0883721126246
0055.051.4	0.978826857777
0055.051.5	2.70213643435
0055.051.6	1.68745778242
0055.051.7	1.02981084413
0058.068.1	0.253732388475
0058.068.2	1.84288206749
0058.068.3	2.84278121621
0058.068.4	3.11980884301
0061.057.2	3.7073014194
0061.057.3	3.27584205738
0061.057.4	2.51981900407
0067.062.1	2.39915606876
0067.062.2	1.26262077827
0067.062.3	2.15986051885
0067.062.4	1.27009628359
0067.062.5	1.37333977578
0067.062.6	0.346154503818
0068.050.1	0.972566530762
0068.050.2	2.00115191972
0068.050.3	1.54966085041
0068.050.4	1.55555931144
0068.050.5	3.02121305548
0068.050.6	2.14454453011
0079.069.1	2.74565626066
0079.069.2	2.87162325511
0079.069.3	2.13993094525
0079.069.4	2.88893486395
0079.069.5	2.57768591552
0079.069.6	3.22524015932
0079.069.7	3.36796733865
0085.075.1	1.89985162778
0085.075.2	2.3189836339
0085.075.3	2.27014906071
0085.075.4	0.395663958993
0085.075.5	1.53587119991
0085.075.6	2.55312481471
0090.080.1	0.26576125501
0090.080.2	0.0730753501544
0090.080.3	0.489916702482
0090.080.4	2.6825620531
0090.080.5	1.64245068167
0090.080.6	1.5009162294
0090.080.7	2.68424633087
0094.086.1	0.792974072154
0094.086.2	0.112605875749
0094.086.3	0.385016325668
0094.086.5	0.596555474504
0094.086.6	0.0520640605486
0094.086.7	2.65185946649
0094.086.8	0.0455031718439
0095.084.2	2.50645194314
0095.084.3	1.26211558457
0098.098.1	0.0337532202102
0098.098.2	0.483999999322
0098.098.3	3.06663407379
0098.098.4	1.46828583533
0100.083.1	2.68101637612
0100.083.2	3.66880941027
0100.083.3	2.96972914091
0100.083.4	3.01601304357
0101.088.1	3.41980097632
0101.088.2	2.89224318719
0101.088.3	2.73746953826
0101.088.4	2.86198871696
0101.088.5	1.80072018239
0101.088.6	0.701302345218
0106.082.2	0.053305658041
0106.082.3	2.37428276194
0121.101.1	1.86970243995
0121.101.2	1.9991750719
0121.101.3	2.02055424055
0123.103.4	2.55566181216
0123.103.5	2.85852937266
0135.111.2	0.351247620037
0135.111.3	0.0924481714167
0135.111.4	2.10747498119
0135.111.5	2.84585075728
0135.111.6	2.37357994503
0136.112.1	2.68897030037
0136.112.2	3.43723680715
0136.112.3	1.9719448812
0136.112.4	3.15562577189
0136.112.5	2.90474316763
0136.112.6	3.52132944817
0138.113.1	2.55855345208
0138.113.2	1.25307771939
0138.113.4	0.0476384171993
0138.113.5	2.75903501096
0139.114.1	0.0469472893959
0139.114.2	1.50053436406
0139.114.3	1.75433255527
0154.119.2	2.1831251768
0154.119.3	2.74026548382
0154.119.4	2.55359962913
0158.129.1	0.154370218413
0158.129.2	0.504384136441
0158.129.3	0.101725577098
0158.129.4	0.0993587028625
0158.129.5	3.33765381117
0158.129.6	0.789466457268
0180.142.1	2.74571196952
0180.142.2	0.190301289278
0180.142.5	1.65387970248
0180.142.6	0.817068633431
0180.142.7	0.783281817785
0180.142.8	0.336498091203
0203.151.1	2.1562557403
0203.151.2	2.90275078493
0203.151.3	2.37673925832
0203.151.4	2.77566589003
0218.162.1	0.512611046037
0218.162.2	0.339459678551
0218.162.3	0.542204466537
0218.162.4	0.457343539344
0218.162.5	0.170190221993
0229.171.1	1.90069114119
0229.171.2	0.230993217044
0262.198.1	0.0371205619361
0262.198.2	1.61609636516
0275.201.2	2.42259638439
0275.201.3	4.274880321
0275.201.4	2.35774750795
0275.201.5	2.65352268057
0275.201.6	2.21539239879
0275.201.7	1.56286010427
