	shannon
0001.003.1	1.40214255329
0001.003.2	0.00796262771864
0001.003.3	0.0318466951238
0001.003.4	-0.0
0001.003.5	0.776822600773
0001.003.6	0.826495479912
0008.007.3	0.0871790227233
0008.007.4	0.165079140157
0008.007.5	0.629236505051
0008.007.6	2.36990951647
0018.017.3	2.2383951543
0018.017.4	2.04757127984
0018.017.5	2.72903231678
0018.017.6	2.39547599674
0021.023.5	2.6987124273
0021.023.6	3.8046828424
0021.023.7	3.11791247674
0029.043.2	2.02754133692
0029.043.3	2.99452853567
0029.043.4	3.22220646611
0032.033.1	2.01377093661
0032.033.2	2.91682730936
0032.033.4	1.84991543589
0032.033.5	2.02952489532
0032.033.6	2.87972382436
0036.028.3	2.68982528576
0036.028.4	3.77183104037
0036.028.5	3.42360284331
0036.028.6	3.80732479011
0041.030.3	0.262464050903
0041.030.4	1.47642805594
0044.034.1	1.29841801838
0044.034.2	2.69570690426
0044.034.3	2.40715832699
0044.034.4	2.67633771088
0044.034.5	3.11664413488
0047.038.3	2.10377739707
0047.038.4	0.664560144007
0047.038.5	1.57865361261
0051.064.5	3.73490278569
0051.064.6	3.17200664068
0055.051.1	0.340739158288
0055.051.2	0.950399948418
0055.051.3	0.0989718047844
0055.051.4	0.946574839589
0055.051.5	2.687624986
0055.051.6	1.73326949619
0055.051.7	1.06164039572
0058.068.1	0.215255693613
0058.068.2	1.75144565225
0058.068.3	2.84243340814
0058.068.4	3.14075755221
0061.057.2	3.63358904808
0061.057.3	3.3256249586
0061.057.4	2.53743179843
0067.062.1	2.4012558145
0067.062.2	1.22989057055
0067.062.3	2.20563513748
0067.062.4	1.25245678986
0067.062.5	1.47699104908
0067.062.6	0.384087222837
0068.050.1	0.888162503691
0068.050.2	1.97153319699
0068.050.3	1.53338482193
0068.050.4	1.51383843269
0068.050.5	2.98333036832
0068.050.6	2.13726679659
0079.069.1	2.65878780461
0079.069.2	2.80498125887
0079.069.3	2.24190141839
0079.069.4	2.8240996235
0079.069.5	2.59789111161
0079.069.6	3.22203664456
0079.069.7	3.33641665214
0085.075.1	1.97331369757
0085.075.2	2.30663975821
0085.075.3	2.20724899792
0085.075.4	0.342429697201
0085.075.5	1.64429679168
0085.075.6	2.50549231565
0090.080.1	0.355757652765
0090.080.2	0.0432838819596
0090.080.3	0.422340792794
0090.080.4	2.73767808224
0090.080.5	1.57904001211
0090.080.6	1.31598989388
0090.080.7	2.66606708435
0094.086.1	0.780566237228
0094.086.2	0.113052283184
0094.086.3	0.39726384311
0094.086.5	0.59155332626
0094.086.6	0.0559793899002
0094.086.7	2.76950766177
0094.086.8	0.0305195551106
0095.084.2	2.5182545118
0095.084.3	1.29146146208
0098.098.1	0.0238859757032
0098.098.2	0.56508501714
0098.098.3	3.06153041667
0098.098.4	1.50559282694
0100.083.1	2.5405281302
0100.083.2	3.65756157914
0100.083.3	2.91833392908
0100.083.4	3.0964983756
0101.088.1	3.36749508812
0101.088.2	2.84527885194
0101.088.3	2.81881885025
0101.088.4	2.89283551155
0101.088.5	1.77261740154
0101.088.6	0.745008458817
0106.082.2	0.0305195551106
0106.082.3	2.35296982002
0121.101.1	1.89981043331
0121.101.2	1.94877052897
0121.101.3	2.00843464546
0123.103.4	2.55574447789
0123.103.5	2.82804779326
0135.111.2	0.348828239832
0135.111.3	0.0861674614811
0135.111.4	2.06819227513
0135.111.5	2.78673836619
0135.111.6	2.37741395487
0136.112.1	2.6565521506
0136.112.2	3.38887665936
0136.112.3	1.90695571775
0136.112.4	3.12174295424
0136.112.5	2.91388201952
0136.112.6	3.52753560021
0138.113.1	2.6678771745
0138.113.2	1.29502769418
0138.113.4	0.0265381350708
0138.113.5	2.80646246152
0139.114.1	0.0825633832255
0139.114.2	1.61042535334
0139.114.3	1.77104268414
0154.119.2	2.24471357865
0154.119.3	2.7712814362
0154.119.4	2.61719868842
0158.129.1	0.194813153544
0158.129.2	0.421238223041
0158.129.3	0.146431214087
0158.129.4	0.153231730577
0158.129.5	3.36468766927
0158.129.6	0.730232907649
0180.142.1	2.75426457705
0180.142.2	0.15521015656
0180.142.5	1.58882919879
0180.142.6	0.848157711173
0180.142.7	0.839029363719
0180.142.8	0.336648543136
0203.151.1	2.18990038063
0203.151.2	2.85586355205
0203.151.3	2.42270725085
0203.151.4	2.82245605447
0218.162.1	0.47174600475
0218.162.2	0.313186867913
0218.162.3	0.530108459386
0218.162.4	0.405315839465
0218.162.5	0.137044886417
0229.171.1	1.85519841749
0229.171.2	0.237195052752
0262.198.1	0.0318466951238
0262.198.2	1.59459899127
0275.201.2	2.38213754238
0275.201.3	4.31511353238
0275.201.4	2.3562351363
0275.201.5	2.59528691417
0275.201.6	2.15079658306
0275.201.7	1.60551154907
0275.201.8	1.996813279
0282.202.1	1.04480056359
0282.202.2	0.0715429458427
0303.208.1	0.00796262771864
0303.208.2	0.412942894081
0387.272.1	2.594657429
0387.272.2	2.55273895978
0387.272.3	3.1534955198
0397.268.1	2.90719679986
0397.268.2	2.90619378874
0411.296.1	1.88751008562
0411.296.2	1.40704395446
0411.296.3	0.98221917373
0411.296.4	2.70821944825
0411.296.5	1.54250405894
0411.296.6	0.807850585365
0421.295.1	0.727816241359
0421.295.2	0.745618265411
0421.295.3	0.941596012027
0421.295.4	1.01931581066
0422.293.1	0.0559793899002
0422.293.2	0.0570474990405
0424.282.1	1.51796720386
0424.282.2	0.763480190256
0424.282.3	1.06434749579
0424.282.4	1.06362322171
0424.282.5	2.1291964264
0424.282.6	3.04577156732
0430.289.1	2.57435691056
0430.289.2	2.38271111266
0430.289.3	1.66055554137
0430.289.4	2.42317434473
0430.289.5	1.81441891777
0434.290.1	3.0111518154
0434.290.2	2.56095986824
0434.290.3	3.53531414235
0434.290.4	2.84333215282
0434.290.5	2.31159822721
0444.312.1	2.90705788357
0444.312.2	3.53600880528
0445.323.1	3.20062397224
0445.323.2	3.44201536911
0445.323.3	3.60015937879
0445.323.4	3.33633591613
0445.323.5	3.52708936368
0446.315.1	0.130828267152
0446.315.2	0.547548100652
0446.315.3	0.0286914943925
0446.315.4	0.584556116404
0446.315.5	0.23304675578
0455.313.1	0.213769694247
0455.313.2	1.22559101843
0455.313.3	4.13430809638
0455.313.4	2.61808747449
0455.313.5	0.122727440284
0476.335.1	2.85550394298
0476.335.2	0.17523928688
0476.335.3	0.00796262771864
0476.335.4	0.0623560590936
0476.335.5	0.0809181727379
0484.349.1	2.64117178771
0484.349.2	1.86116354389
0484.349.3	2.42775989298
0484.349.4	3.46725503905
0484.349.5	2.25645979782
0590.427.3	2.50085136398
0590.427.4	2.29006759585
0650.470.1	2.37571182659
0650.470.2	2.73450004123
0650.470.3	4.08263207478
0650.470.4	2.15453923344
0662.479.2	2.22513189112
0662.479.3	1.18760671996
0671.486.1	1.6744408769
0671.486.2	0.972553146719
0671.486.3	2.45238934605
0671.486.4	1.25909994654
0675.493.1	3.87146785417
0675.493.2	2.39521128486
0691.499.1	2.58721960065
0691.499.2	2.86273087363
0691.499.3	0.877493203179
0695.498.1	2.33071955153
0695.498.2	1.91529409974
0707.511.1	0.48145017528
0707.511.2	0.992557971386
0708.515.1	0.238641752015
0708.515.2	0.054397890002
0708.515.3	0.169799410126
0723.529.1	2.78155910171
0723.529.2	3.14387897053
0723.529.3	2.23269612385
0725.527.1	0.788649741691
0725.527.2	0.741115843792
0730.536.1	3.22474078711
0730.536.2	0.133172189367
0730.536.3	2.18701294322
0755.549.1	3.05630969816
0755.549.2	3.21529359216
0760.569.1	0.56009759911
0760.569.2	1.34934272238
0760.569.3	3.4587409098
0775.568.1	0.0706329394387
0775.568.2	0.710521441975
0775.568.3	2.75593649284
0788.597.1	1.48905446187
0788.597.2	1.95379206719
0788.597.3	1.89143089402
0825.610.1	2.0145243509
0825.610.2	0.0911604427632
0825.610.3	0.77497520168
0825.610.4	1.68718215336
0847.616.1	3.03328237053
0847.616.2	2.16519807554
0847.616.3	2.60479338619
0847.616.4	2.93723256363
0858.627.1	3.2379006822
0858.627.2	2.92545695836
0869.631.1	4.24778217957
0869.631.2	0.433160349309
0880.641.1	0.790763670571
0880.641.2	0.912853795895
0880.641.3	3.39034599036
0959.704.1	2.20069296458
0959.704.2	1.37436440692
1031.761.1	0.054397890002
1031.761.2	0.377710553643
1169.852.1	1.60856205196
1169.852.2	0.503153292261
1184.867.1	2.71264994998
1184.867.2	2.55850451569
1192.879.1	3.08376103679
1192.879.2	3.18986666872
1317.970.1	1.95223657471
1317.970.2	2.76392071187
1416.1052.2	0.117755454201
1416.1052.3	0.386652179064
1443.1076.2	2.54648964056
1443.1076.3	2.83793685869
1485.1102.1	0.399765632649
1485.1102.2	0.530591803813
1510.1125.1	0.0759349112884
1510.1125.2	0.238491172781
1511.1126.1	1.41398627006
1511.1126.2	1.54078689404
1513.1128.1	0.410875446622
1513.1128.2	1.13636159032
