	shannon
0001.003.1	1.38360046117
0001.003.2	0.00955171885359
0001.003.3	0.0318138624983
0001.003.4	0.00620131930995
0001.003.5	0.803483190795
0001.003.6	0.822294294451
0008.007.3	0.0706051188982
0008.007.4	0.152399561877
0008.007.5	0.648822515954
0008.007.6	2.50528784555
0018.017.3	2.32023419302
0018.017.4	2.05484029169
0018.017.5	2.72728246344
0018.017.6	2.43526696272
0021.023.5	2.72203660002
0021.023.6	3.84705522385
0021.023.7	3.08552823142
0029.043.2	2.04135510071
0029.043.3	2.96435440577
0029.043.4	3.20122824732
0032.033.1	1.99166557548
0032.033.2	2.82822417495
0032.033.4	1.95209355222
0032.033.5	2.0289555442
0032.033.6	2.85049177797
0036.028.3	2.67508046561
0036.028.4	3.75021802967
0036.028.5	3.46476469308
0036.028.6	3.78740025369
0041.030.3	0.252792671879
0041.030.4	1.4688525067
0044.034.1	1.31271874072
0044.034.2	2.72913725355
0044.034.3	2.41608960745
0044.034.4	2.69935661752
0044.034.5	3.10397306225
0047.038.3	2.05277857114
0047.038.4	0.647581205792
0047.038.5	1.56225200875
0051.064.5	3.68008900428
0051.064.6	3.15925195933
0055.051.1	0.31259000531
0055.051.2	0.95932943079
0055.051.3	0.0906404288736
0055.051.4	0.963624264584
0055.051.5	2.74068930214
0055.051.6	1.71868992951
0055.051.7	1.03822754247
0058.068.1	0.261294212392
0058.068.2	1.81821985025
0058.068.3	2.85829547806
0058.068.4	3.17475976367
0061.057.2	3.64948257405
0061.057.3	3.3543717748
0061.057.4	2.50968976078
0067.062.1	2.49327934112
0067.062.2	1.24627213147
0067.062.3	2.18355326604
0067.062.4	1.21987159232
0067.062.5	1.41574802317
0067.062.6	0.392275353041
0068.050.1	1.00590427025
0068.050.2	1.98580587588
0068.050.3	1.55002387435
0068.050.4	1.50417547919
0068.050.5	3.01865212563
0068.050.6	2.11549377391
0079.069.1	2.74359352867
0079.069.2	2.92251248239
0079.069.3	2.2009939665
0079.069.4	2.8887813846
0079.069.5	2.53574056421
0079.069.6	3.23554731557
0079.069.7	3.35778760338
0085.075.1	1.90651503929
0085.075.2	2.36177801691
0085.075.3	2.31362133056
0085.075.4	0.391428523627
0085.075.5	1.61179043593
0085.075.6	2.52606289373
0090.080.1	0.322903985556
0090.080.2	0.0479480836376
0090.080.3	0.476055617887
0090.080.4	2.66943126957
0090.080.5	1.65344409473
0090.080.6	1.42815196035
0090.080.7	2.70304848784
0094.086.1	0.808498269198
0094.086.2	0.11629154466
0094.086.3	0.380472667987
0094.086.5	0.618599675358
0094.086.6	0.0404031577378
0094.086.7	2.73410381084
0094.086.8	0.0380133775355
0095.084.2	2.48337858438
0095.084.3	1.2861986351
0098.098.1	0.0251142361203
0098.098.2	0.512512242405
0098.098.3	3.06907526327
0098.098.4	1.46413045299
0100.083.1	2.6570848784
0100.083.2	3.72229403182
0100.083.3	2.92763621297
0100.083.4	3.02195049654
0101.088.1	3.4256382959
0101.088.2	2.90954703772
0101.088.3	2.78931005605
0101.088.4	2.89605337264
0101.088.5	1.84498603302
0101.088.6	0.786791956222
0106.082.2	0.0432130309257
0106.082.3	2.33377530784
0121.101.1	1.91179671906
0121.101.2	1.97636969065
0121.101.3	2.04171194606
0123.103.4	2.55844348966
0123.103.5	2.89007779158
0135.111.2	0.378597035518
0135.111.3	0.101082552257
0135.111.4	2.12231745906
0135.111.5	2.83893890781
0135.111.6	2.41011178004
0136.112.1	2.70980413023
0136.112.2	3.39542555961
0136.112.3	1.96318198935
0136.112.4	3.13068339151
0136.112.5	2.91045285502
0136.112.6	3.47227577211
0138.113.1	2.5821298055
0138.113.2	1.30785101638
0138.113.4	0.0444274179942
0138.113.5	2.79698962014
0139.114.1	0.0740742639214
0139.114.2	1.58525525776
0139.114.3	1.75530981994
0154.119.2	2.27990934674
0154.119.3	2.78273379347
0154.119.4	2.5982115543
0158.129.1	0.16620654966
0158.129.2	0.466773488856
0158.129.3	0.146194269515
0158.129.4	0.123136334401
0158.129.5	3.31256700166
0158.129.6	0.82464198778
0180.142.1	2.79920314528
0180.142.2	0.189758514216
0180.142.5	1.63044081222
0180.142.6	0.901814643668
0180.142.7	0.853847922148
0180.142.8	0.365121913006
0203.151.1	2.22094509414
0203.151.2	2.88105996156
0203.151.3	2.37989577377
0203.151.4	2.78792558073
0218.162.1	0.540447003365
0218.162.2	0.398758320629
0218.162.3	0.534981411104
0218.162.4	0.416610450349
0218.162.5	0.148057574621
0229.171.1	1.88832191196
0229.171.2	0.226748210389
0262.198.1	0.051599451049
0262.198.2	1.63475253445
0275.201.2	2.42021246737
0275.201.3	4.26778853618
0275.201.4	2.36918080572
0275.201.5	2.63119144825
0275.201.6	2.18466855297
0275.201.7	1.60608919661
0275.201.8	1.99169061615
0282.202.1	1.05157135381
0282.202.2	0.0706472069738
0303.208.1	0.0260628849361
0303.208.2	0.488476119637
0387.272.1	2.57960887876
0387.272.2	2.62534782491
0387.272.3	3.1569285062
0397.268.1	2.92172620457
0397.268.2	2.88197231907
0411.296.1	1.9258313924
0411.296.2	1.38314660579
0411.296.3	0.984351964663
0411.296.4	2.74857924931
0411.296.5	1.55040243549
0411.296.6	0.772236576664
0421.295.1	0.739601608696
0421.295.2	0.742124685626
0421.295.3	0.949634564393
0421.295.4	1.01538890126
0422.293.1	0.0498143186521
0422.293.2	0.064057604971
0424.282.1	1.53108011845
0424.282.2	0.763465291028
0424.282.3	1.11343816298
0424.282.4	1.08437930223
0424.282.5	2.13034953017
0424.282.6	3.06730140161
0430.289.1	2.5679950844
0430.289.2	2.44915482091
0430.289.3	1.74728794869
0430.289.4	2.41939217605
0430.289.5	1.83519102229
0434.290.1	3.03498041218
0434.290.2	2.52815655849
0434.290.3	3.54423472434
0434.290.4	2.87354037952
0434.290.5	2.34423570152
0444.312.1	2.97079726525
0444.312.2	3.54096124307
0445.323.1	3.17949859436
0445.323.2	3.52932163036
0445.323.3	3.55863281166
0445.323.4	3.3100007446
0445.323.5	3.51788909057
0446.315.1	0.128340506257
0446.315.2	0.573428126224
0446.315.3	0.0374519589482
0446.315.4	0.612543740423
0446.315.5	0.259607724964
0455.313.1	0.209271685359
0455.313.2	1.24030613293
0455.313.3	4.13676288657
0455.313.4	2.63582772314
0455.313.5	0.127324798077
0476.335.1	2.91677359173
0476.335.2	0.193358256981
0476.335.3	0.0256139862452
0476.335.4	0.0672405788757
0476.335.5	0.0808756834488
0484.349.1	2.61601257868
0484.349.2	1.93072776055
0484.349.3	2.50162647647
0484.349.4	3.4544442046
0484.349.5	2.19378699859
0590.427.3	2.49132939755
0590.427.4	2.32810955351
0650.470.1	2.37999017697
0650.470.2	2.79969708171
0650.470.3	4.07266182807
0650.470.4	2.18486362003
0662.479.2	2.26201189927
0662.479.3	1.15418433637
0671.486.1	1.59360869477
0671.486.2	0.986206928012
0671.486.3	2.50674053307
0671.486.4	1.25416307158
0675.493.1	3.91056573614
0675.493.2	2.40412853453
0691.499.1	2.58158850798
0691.499.2	2.87163046625
0691.499.3	0.886798662981
0695.498.1	2.23881045249
0695.498.2	1.98642946656
0707.511.1	0.463236381081
0707.511.2	1.01069949123
0708.515.1	0.254280830138
0708.515.2	0.0762975225566
0708.515.3	0.196817098325
0723.529.1	2.80588724104
0723.529.2	3.19535624059
0723.529.3	2.20299600655
0725.527.1	0.778254195433
0725.527.2	0.681912540381
0730.536.1	3.26130313836
0730.536.2	0.142563937255
0730.536.3	2.17649155715
0755.549.1	3.06336796592
0755.549.2	3.2155867895
0760.569.1	0.526125818394
0760.569.2	1.32090751285
0760.569.3	3.51509718594
0775.568.1	0.0794157980729
0775.568.2	0.717929262836
0775.568.3	2.72000841519
0788.597.1	1.47268370035
0788.597.2	1.89757401187
0788.597.3	1.87991987919
0825.610.1	2.02890235908
0825.610.2	0.104444252473
0825.610.3	0.795819959739
0825.610.4	1.7736399315
0847.616.1	2.98802060253
0847.616.2	2.20989164896
0847.616.3	2.57407960116
0847.616.4	2.92813734301
0858.627.1	3.22178714241
0858.627.2	2.93743007112
0869.631.1	4.2735207838
0869.631.2	0.362787343068
0880.641.1	0.798725371898
0880.641.2	0.907162655005
0880.641.3	3.38108190098
0959.704.1	2.16898204376
0959.704.2	1.43193445054
1031.761.1	0.0494118229875
1031.761.2	0.375290867775
1169.852.1	1.62930783959
1169.852.2	0.519416085066
1184.867.1	2.72240871752
1184.867.2	2.57866168936
1192.879.1	3.14874590855
1192.879.2	3.16462081834
1317.970.1	1.94529938266
1317.970.2	2.73919058594
1416.1052.2	0.136302730431
1416.1052.3	0.389098910389
1443.1076.2	2.56357165483
1443.1076.3	2.87081422816
1485.1102.1	0.40656759193
1485.1102.2	0.549850302243
1510.1125.1	0.113151441377
1510.1125.2	0.296724931957
1511.1126.1	1.37034579769
1511.1126.2	1.56319184055
1513.1128.1	0.47230667846
1513.1128.2	1.13509345986
