	shannon
0001.003.1	1.37673541466
0001.003.2	0.00955171885359
0001.003.3	0.0248031135571
0001.003.4	-0.0
0001.003.5	0.810476107121
0001.003.6	0.819046400525
0008.007.3	0.092514274413
0008.007.4	0.160220935024
0008.007.5	0.664211225779
0008.007.6	2.52718035685
0018.017.3	2.3053582075
0018.017.4	2.04531969513
0018.017.5	2.73633358324
0018.017.6	2.4189613454
0021.023.5	2.7400586336
0021.023.6	3.83589786808
0021.023.7	3.08875483018
0029.043.2	2.05882518898
0029.043.3	2.98713429123
0029.043.4	3.18522442455
0032.033.1	1.96916239082
0032.033.2	2.83950623406
0032.033.4	1.94729435546
0032.033.5	2.05768060159
0032.033.6	2.8374046204
0036.028.3	2.67753758994
0036.028.4	3.74804695919
0036.028.5	3.44834843939
0036.028.6	3.77217375517
0041.030.3	0.281074648321
0041.030.4	1.48450640272
0044.034.1	1.30742961407
0044.034.2	2.71061416982
0044.034.3	2.41340822938
0044.034.4	2.68718024871
0044.034.5	3.11562081741
0047.038.3	2.04844033396
0047.038.4	0.639355725246
0047.038.5	1.56943002031
0051.064.5	3.68241286296
0051.064.6	3.15618122919
0055.051.1	0.315184715256
0055.051.2	0.957613834758
0055.051.3	0.100223637982
0055.051.4	0.958457370515
0055.051.5	2.71454953694
0055.051.6	1.72058389325
0055.051.7	1.03751997443
0058.068.1	0.295245927018
0058.068.2	1.79474611562
0058.068.3	2.83201565414
0058.068.4	3.14111273628
0061.057.2	3.64444333023
0061.057.3	3.35353917328
0061.057.4	2.50995352639
0067.062.1	2.47447555965
0067.062.2	1.24832007594
0067.062.3	2.17077265857
0067.062.4	1.22023806681
0067.062.5	1.41873011407
0067.062.6	0.408973463694
0068.050.1	1.00545099739
0068.050.2	1.98023807483
0068.050.3	1.55682116753
0068.050.4	1.52288747448
0068.050.5	3.03466650732
0068.050.6	2.14344620892
0079.069.1	2.7124937158
0079.069.2	2.89036969959
0079.069.3	2.21235644656
0079.069.4	2.89952213663
0079.069.5	2.55126828624
0079.069.6	3.20329495513
0079.069.7	3.36042559778
0085.075.1	1.92235723776
0085.075.2	2.34997986835
0085.075.3	2.34092214594
0085.075.4	0.417942410528
0085.075.5	1.60937539083
0085.075.6	2.54029388765
0090.080.1	0.335424613631
0090.080.2	0.0549552676862
0090.080.3	0.465502673526
0090.080.4	2.68694934875
0090.080.5	1.67531945802
0090.080.6	1.45192916711
0090.080.7	2.71265088598
0094.086.1	0.806870621106
0094.086.2	0.114808678748
0094.086.3	0.364284134266
0094.086.5	0.645875332178
0094.086.6	0.0447980315216
0094.086.7	2.71969309736
0094.086.8	0.0518589992934
0095.084.2	2.52112932022
0095.084.3	1.27487125985
0098.098.1	0.0286527220117
0098.098.2	0.534120509617
0098.098.3	3.06274414265
0098.098.4	1.45681779671
0100.083.1	2.6587668902
0100.083.2	3.75073386073
0100.083.3	2.97949248837
0100.083.4	3.00178412563
0101.088.1	3.42659200693
0101.088.2	2.91721672913
0101.088.3	2.79303043251
0101.088.4	2.89909205643
0101.088.5	1.80789562718
0101.088.6	0.775208322625
0106.082.2	0.0363005457083
0106.082.3	2.34045589858
0121.101.1	1.92969331742
0121.101.2	1.98069255359
0121.101.3	2.04463083996
0123.103.4	2.55983272574
0123.103.5	2.89359991491
0135.111.2	0.38908501709
0135.111.3	0.090475211597
0135.111.4	2.13426246178
0135.111.5	2.84840889984
0135.111.6	2.39596650832
0136.112.1	2.66575032161
0136.112.2	3.39070288698
0136.112.3	1.9822711384
0136.112.4	3.11915985807
0136.112.5	2.91696379783
0136.112.6	3.4879311006
0138.113.1	2.56110679723
0138.113.2	1.28441797216
0138.113.4	0.0584893357836
0138.113.5	2.78443051312
0139.114.1	0.0788738795758
0139.114.2	1.56597784352
0139.114.3	1.79266611293
0154.119.2	2.26024013336
0154.119.3	2.78646360698
0154.119.4	2.59386429764
0158.129.1	0.169530216609
0158.129.2	0.471278922915
0158.129.3	0.137598590451
0158.129.4	0.108953137647
0158.129.5	3.32632198676
0158.129.6	0.828447721699
0180.142.1	2.7972923733
0180.142.2	0.185040124414
0180.142.5	1.63336184413
0180.142.6	0.883825439913
0180.142.7	0.837982840469
