	shannon
0001.003.1	1.38491537814
0001.003.2	0.00796262771864
0001.003.3	0.0238859757032
0001.003.4	-0.0
0001.003.5	0.835593184963
0001.003.6	0.813935192894
0008.007.3	0.093470481589
0008.007.4	0.182171964256
0008.007.5	0.616337862528
0008.007.6	2.38509125035
0018.017.3	2.2913048561
0018.017.4	2.06848177343
0018.017.5	2.67361231303
0018.017.6	2.39342156315
0021.023.5	2.67715742487
0021.023.6	3.90860741844
0021.023.7	3.02350303917
0029.043.2	2.05313746053
0029.043.3	3.01585006099
0029.043.4	3.17770294519
0032.033.1	1.98697792406
0032.033.2	2.89281236141
0032.033.4	1.89016896847
0032.033.5	1.91288734755
0032.033.6	2.7590592847
0036.028.3	2.60248329905
0036.028.4	3.72490260332
0036.028.5	3.44336458809
0036.028.6	3.78670713258
0041.030.3	0.259489794838
0041.030.4	1.47368694889
0044.034.1	1.3280324754
0044.034.2	2.69965750366
0044.034.3	2.43509647889
0044.034.4	2.7272030068
0044.034.5	3.13026219031
0047.038.3	2.11692300578
0047.038.4	0.637103686302
0047.038.5	1.59284046049
0051.064.5	3.73023147672
0051.064.6	3.07699194649
0055.051.1	0.311924845117
0055.051.2	0.947901207259
0055.051.3	0.0775138540454
0055.051.4	0.949491632789
0055.051.5	2.66536182896
0055.051.6	1.67933796122
0055.051.7	1.07042544024
0058.068.1	0.226932818471
0058.068.2	1.75225068625
0058.068.3	2.89239342013
0058.068.4	3.20890401319
0061.057.2	3.72796613878
0061.057.3	3.32127375391
0061.057.4	2.47165243661
0067.062.1	2.41980041658
0067.062.2	1.20753817366
0067.062.3	2.19406967625
0067.062.4	1.22409052068
0067.062.5	1.44441417994
0067.062.6	0.414193446174
0068.050.1	0.97567324612
0068.050.2	1.92194223724
0068.050.3	1.49489826259
0068.050.4	1.5002165985
0068.050.5	3.00820276436
0068.050.6	2.05851609794
0079.069.1	2.67966963467
0079.069.2	2.89986860153
0079.069.3	2.22545836077
0079.069.4	2.82028768298
0079.069.5	2.59982906025
0079.069.6	3.19255600908
0079.069.7	3.32258874303
0085.075.1	1.92433736952
0085.075.2	2.37059194777
0085.075.3	2.37869640321
0085.075.4	0.38105299999
0085.075.5	1.64262575954
0085.075.6	2.54547274221
0090.080.1	0.311940069709
0090.080.2	0.054652249887
0090.080.3	0.497127778219
0090.080.4	2.62113415412
0090.080.5	1.66011664896
0090.080.6	1.49192216285
0090.080.7	2.72114884607
0094.086.1	0.844012292916
0094.086.2	0.153105235165
0094.086.3	0.363465433721
0094.086.5	0.695909881826
0094.086.6	0.0159246197605
0094.086.7	2.82636068302
0094.086.8	0.054397890002
0095.084.2	2.43331164254
0095.084.3	1.25244287811
0098.098.1	0.046439082691
0098.098.2	0.439494199337
0098.098.3	3.07363536139
0098.098.4	1.48650683679
0100.083.1	2.66593596888
0100.083.2	3.70331961824
0100.083.3	2.93240918977
0100.083.4	2.97054617614
0101.088.1	3.44303915445
0101.088.2	2.84689823138
0101.088.3	2.74211991725
0101.088.4	2.94546782638
0101.088.5	1.73818702623
0101.088.6	0.746075404893
0106.082.2	0.0384796375856
0106.082.3	2.35748042671
0121.101.1	1.91327401879
0121.101.2	2.0077468346
0121.101.3	2.05960242406
0123.103.4	2.51266463879
0123.103.5	2.78611600763
0135.111.2	0.376285006481
0135.111.3	0.0828723040799
0135.111.4	2.10679363271
0135.111.5	2.76227831338
0135.111.6	2.31452316602
0136.112.1	2.67601078689
0136.112.2	3.38680236839
0136.112.3	1.95015564005
0136.112.4	3.06798843538
0136.112.5	2.88137795191
0136.112.6	3.44465491327
